Taluka,City_Village,Area_Type,Land_Type,Buyer_Gender,Area_sqft,Rate_per_sqft,Land_Cost,Stamp_Duty_Percent,Stamp_Duty_Amount,Registration_Percent,Registration_Amount,Total_Price,Flood_Risk,Crime_Level,Market_Access,School_Access,Hospital_Access,Growth_Rate,Distance_to_City_Center,Distance_to_Highway
Radhanagari,Tarale,Rural,Agricultural,Male,10000,360,3600000,3,108000,1,30000,3738000,Medium,Low,5,5,4,0.04,33.0,10.0
Shirol,Jaysingpur,Semi-Urban,Residential,Male,1700,2860,4862000,4,194480,1,30000,5086480,Medium,Low,7,7,7,0.06,35.0,25.0
Gaganbawada,Sakhari,Rural,Agricultural,Female,2500,330,825000,2,16500,1,8250,849750,High,Low,4,4,4,0.04,40.0,12.0
Gadhinglaj,Harali,Rural,Agricultural,Female,4500,340,1530000,2,30600,1,15300,1575900,Low,Low,4,4,4,0.03,45.0,15.0
Kagal,Bidri,Rural,Residential,Male,1500,1140,1710000,3,51300,1,17100,1778400,Medium,Low,5,5,5,0.03,30.0,18.0
Gaganbawada,Vesarde,Rural,Agricultural,Male,5000,200,1000000,3,30000,1,10000,1040000,High,Low,4,4,3,0.03,44.0,13.0
Kagal,Sangaon,Rural,Agricultural,Male,4500,460,2070000,3,62100,1,20700,2152800,Medium,Low,5,5,5,0.04,25.0,14.0
Karveer,Gandhinagar,Urban,Industrial,Female,2800,1930,5404000,5,270200,1,30000,5704200,Low,Low,8,8,8,0.08,3.0,6.0
Chandgad,Kudnur,Rural,Agricultural,Female,6000,330,1980000,2,39600,1,19800,2039400,Medium,Low,5,5,4,0.04,34.0,9.0
Radhanagari,Dajipur,Rural,Agricultural,Male,1900,200,380000,3,11400,1,3800,395200,High,Low,4,4,3,0.03,40.0,12.0
Gaganbawada,Vesarde,Rural,Residential,Male,1500,330,495000,3,14850,1,4950,514800,High,Low,4,4,3,0.03,44.0,13.0
Shirol,Jaysingpur,Semi-Urban,Commercial,Male,4000,3660,14640000,4,585600,1,30000,15255600,Medium,Low,7,7,7,0.06,35.0,25.0
Gaganbawada,Bhuibawada,Rural,Residential,Female,4000,850,3400000,2,68000,1,30000,3498000,Medium,Low,5,5,4,0.04,38.0,11.0
Shahuwadi,Bambavade,Rural,Agricultural,Male,2900,380,1102000,3,33060,1,11020,1146080,Medium,Low,5,5,5,0.04,28.0,7.0
Panhala,Warnanagar,Semi-Urban,Agricultural,Female,1400,1090,1526000,3,45780,1,15260,1587040,Low,Medium,8,7,7,0.06,15.0,2.0
Gaganbawada,Bhuibawada,Rural,Residential,Male,10000,750,7500000,3,225000,1,30000,7755000,Medium,Low,5,5,4,0.04,38.0,11.0
Karveer,Uchgaon,Semi-Urban,Agricultural,Male,3800,1350,5130000,4,205200,1,30000,5365200,Low,Low,8,8,7,0.15,4.0,2.0
Karveer,Kalamba,Semi-Urban,Residential,Male,2000,3030,6060000,4,242400,1,30000,6332400,Low,Low,8,8,8,0.11,3.5,4.0
Ajra,Ajra,Rural,Residential,Male,5000,950,4750000,3,142500,1,30000,4922500,Medium,Low,5,5,5,0.04,30.0,8.0
Chandgad,Tilari,Rural,Residential,Female,10000,330,3300000,2,66000,1,30000,3396000,High,Low,4,4,3,0.03,40.0,10.0
Radhanagari,Dajipur,Rural,Residential,Male,6000,300,1800000,3,54000,1,18000,1872000,High,Low,4,4,3,0.03,40.0,12.0
Bhudargad,Patgaon,Rural,Agricultural,Female,3500,200,700000,2,14000,1,7000,721000,Medium,Low,4,4,4,0.03,32.0,8.0
Ajra,Ajra,Rural,Agricultural,Male,2500,400,1000000,3,30000,1,10000,1040000,Medium,Low,5,5,5,0.04,30.0,8.0
Karveer,Shiye,Semi-Urban,Industrial,Male,2800,2190,6132000,4,245280,1,30000,6407280,Low,Low,8,7,7,0.09,5.0,3.0
Kagal,Murgud,Semi-Urban,Residential,Female,1100,1830,2013000,3,60390,1,20130,2093520,Low,Low,6,6,5,0.05,39.0,20.0
Bhudargad,Gargoti,Semi-Urban,Commercial,Female,1900,2100,3990000,3,119700,1,30000,4139700,Low,Medium,6,6,6,0.05,22.0,6.0
Shirol,Lat,Rural,Residential,Male,4000,860,3440000,3,103200,1,30000,3573200,High,Low,4,4,4,0.03,38.0,15.0
Ajra,Ningudage,Rural,Residential,Male,10000,390,3900000,3,117000,1,30000,4047000,High,Low,4,4,4,0.03,36.0,10.0
Panhala,Kodoli,Semi-Urban,Residential,Female,3400,2360,8024000,3,240720,1,30000,8294720,Low,Medium,7,7,6,0.06,16.0,3.0
Radhanagari,Ghotawade,Rural,Agricultural,Male,3000,200,600000,3,18000,1,6000,624000,High,Low,4,4,3,0.03,38.0,12.0
Hatkanangale,Kabnur,Semi-Urban,Residential,Female,1700,2190,3723000,3,111690,1,30000,3864690,Low,Medium,6,6,6,0.05,17.0,15.0
Chandgad,Here,Rural,Agricultural,Male,2900,360,1044000,3,31320,1,10440,1085760,Medium,Low,4,4,4,0.04,36.0,10.0
Karveer,Uchgaon,Semi-Urban,Residential,Female,4000,3030,12120000,3,363600,1,30000,12513600,Low,Low,8,8,7,0.15,4.0,2.0
Shirol,Shirol,Semi-Urban,Commercial,Male,2400,2510,6024000,4,240960,1,30000,6294960,High,Medium,7,7,8,0.06,40.0,4.0
Kagal,Sangaon,Rural,Residential,Female,1900,1240,2356000,2,47120,1,23560,2426680,Medium,Low,5,5,5,0.04,25.0,14.0
Karveer,Uchgaon,Semi-Urban,Residential,Male,2800,2940,8232000,4,329280,1,30000,8591280,Low,Low,8,8,7,0.15,4.0,2.0
Karveer,Kalamba,Semi-Urban,Commercial,Male,4500,3500,15750000,4,630000,1,30000,16410000,Low,Low,8,8,8,0.11,3.5,4.0
Radhanagari,Radhanagari,Rural,Residential,Female,3500,980,3430000,2,68600,1,30000,3528600,High,Low,5,5,5,0.04,35.0,9.0
Karveer,Shiroli,Semi-Urban,Residential,Female,1400,3180,4452000,3,133560,1,30000,4615560,High,Medium,8,6,6,0.09,10.0,2.0
Shahuwadi,Sarud,Rural,Residential,Female,2100,370,777000,2,15540,1,7770,800310,High,Low,4,4,3,0.03,33.0,9.0
Ajra,Dewarde,Rural,Residential,Female,5000,710,3550000,2,71000,1,30000,3651000,Medium,Low,4,4,4,0.04,35.0,10.0
Hatkanangale,Rukadi,Rural,Residential,Female,5500,1860,10230000,2,204600,1,30000,10464600,Low,Low,5,5,5,0.04,15.0,13.0
Shirol,Jaysingpur,Semi-Urban,Residential,Male,2000,2520,5040000,4,201600,1,30000,5271600,Medium,Low,7,7,7,0.06,35.0,25.0
Hatkanangale,Ichalkaranji,Urban,Commercial,Male,1300,3700,4810000,6,288600,1,30000,5128600,Medium,Medium,8,8,7,0.1,25.0,22.0
Ajra,Dewarde,Rural,Industrial,Male,5500,710,3905000,3,117150,1,30000,4052150,Medium,Low,4,4,4,0.04,35.0,10.0
Ajra,Ajra,Rural,Agricultural,Male,2100,360,756000,3,22680,1,7560,786240,Medium,Low,5,5,5,0.04,30.0,8.0
Radhanagari,Tarale,Rural,Industrial,Female,5500,700,3850000,2,77000,1,30000,3957000,Medium,Low,5,5,4,0.04,33.0,10.0
Radhanagari,Dhamod,Rural,Agricultural,Male,3500,310,1085000,3,32550,1,10850,1128400,Medium,Low,4,4,4,0.04,36.0,11.0
Gadhinglaj,Halkarni,Rural,Residential,Male,7000,890,6230000,3,186900,1,30000,6446900,Low,Low,6,7,4,0.03,60.0,12.0
Radhanagari,Ghotawade,Rural,Agricultural,Male,1700,200,340000,3,10200,1,3400,353600,High,Low,4,4,3,0.03,38.0,12.0
Radhanagari,Dajipur,Rural,Commercial,Female,5000,400,2000000,2,40000,1,20000,2060000,High,Low,4,4,3,0.03,40.0,12.0
Karveer,Rajarampuri,Urban,Residential,Male,1500,6980,10470000,6,628200,1,30000,11128200,Medium,Low,9,9,9,0.12,2.0,10.0
Chandgad,Shinoli,Rural,Agricultural,Female,5500,340,1870000,2,37400,1,18700,1926100,Medium,Low,5,5,4,0.04,33.0,9.0
Gadhinglaj,Nesari,Rural,Agricultural,Male,6000,380,2280000,3,68400,1,22800,2371200,Low,Low,6,6,6,0.04,50.0,20.0
Ajra,Madilage,Rural,Industrial,Male,7000,660,4620000,3,138600,1,30000,4788600,Medium,Low,5,5,5,0.04,34.0,9.0
Hatkanangale,Ichalkaranji,Urban,Commercial,Male,2900,4050,11745000,6,704700,1,30000,12479700,Medium,Medium,8,8,7,0.1,25.0,22.0
Kagal,Kagal,Semi-Urban,Commercial,Female,6000,3260,19560000,3,586800,1,30000,20176800,Low,Low,8,8,7,0.01,22.0,5.0
Shahuwadi,Sarud,Rural,Residential,Female,8000,390,3120000,2,62400,1,30000,3212400,High,Low,4,4,3,0.03,33.0,9.0
Gadhinglaj,Gadhinglaj,Semi-Urban,Residential,Male,5500,2590,14245000,4,569800,1,30000,14844800,Low,Medium,8,8,8,0.09,40.0,14.0
Kagal,Murgud,Semi-Urban,Residential,Female,6000,1670,10020000,3,300600,1,30000,10350600,Low,Low,6,6,5,0.05,39.0,20.0
Karveer,Gandhinagar,Urban,Commercial,Male,1100,3380,3718000,6,223080,1,30000,3971080,Low,Low,8,8,8,0.08,3.0,6.0
Karveer,Gokul Shirgaon,Semi-Urban,Residential,Male,6000,1650,9900000,4,396000,1,30000,10326000,Low,Low,7,7,6,0.07,8.0,4.0
Karveer,Uchgaon,Semi-Urban,Residential,Male,1700,3000,5100000,4,204000,1,30000,5334000,Low,Low,8,8,7,0.15,4.0,2.0
Bhudargad,Patgaon,Rural,Agricultural,Female,8000,200,1600000,2,32000,1,16000,1648000,Medium,Low,4,4,4,0.03,32.0,8.0
Kagal,Siddhanerli,Rural,Residential,Female,10000,1160,11600000,2,232000,1,30000,11862000,Low,Low,5,5,5,0.06,26.0,13.0
Karveer,Shivaji Peth,Urban,Residential,Female,800,6030,4824000,5,241200,1,30000,5095200,High,Low,9,8,9,0.07,1.0,7.0
Panhala,Warnanagar,Semi-Urban,Residential,Female,6000,2760,16560000,3,496800,1,30000,17086800,Low,Medium,8,7,7,0.06,15.0,2.0
Shahuwadi,Amba,Rural,Industrial,Male,10000,320,3200000,3,96000,1,30000,3326000,High,Low,4,4,3,0.03,35.0,9.0
Gadhinglaj,Mahagoan,Rural,Residential,Female,7000,860,6020000,2,120400,1,30000,6170400,Medium,Low,5,5,4,0.04,35.0,10.0
Shirol,Kurundwad,Semi-Urban,Residential,Female,5000,1670,8350000,3,250500,1,30000,8630500,High,Low,7,7,6,0.06,35.0,33.0
Gadhinglaj,Mungurwadi,Rural,Commercial,Male,9000,1070,9630000,3,288900,1,30000,9948900,Low,Low,5,5,5,0.04,32.0,8.0
Gadhinglaj,Basarge,Rural,Agricultural,Male,5000,370,1850000,3,55500,1,18500,1924000,Medium,Low,5,5,5,0.04,30.0,7.0
Shahuwadi,Bambavade,Rural,Residential,Male,1900,820,1558000,3,46740,1,15580,1620320,Medium,Low,5,5,5,0.04,28.0,7.0
Gaganbawada,Sakhari,Rural,Residential,Female,4500,720,3240000,2,64800,1,30000,3334800,High,Low,4,4,4,0.04,40.0,12.0
Gadhinglaj,Mungurwadi,Rural,Residential,Female,4000,880,3520000,2,70400,1,30000,3620400,Low,Low,5,5,5,0.04,32.0,8.0
Gadhinglaj,Mahagoan,Rural,Agricultural,Female,1900,350,665000,2,13300,1,6650,684950,Medium,Low,5,5,4,0.04,35.0,10.0
Karveer,Shivaji Peth,Urban,Industrial,Female,1000,5520,5520000,5,276000,1,30000,5826000,High,Low,9,8,9,0.07,1.0,7.0
Radhanagari,Radhanagari,Rural,Agricultural,Female,2300,430,989000,2,19780,1,9890,1018670,High,Low,5,5,5,0.04,35.0,9.0
Kagal,Kapashi,Rural,Residential,Female,5000,1010,5050000,2,101000,1,30000,5181000,Medium,Low,5,5,5,0.04,28.0,12.0
Hatkanangale,Alas,Rural,Residential,Male,5000,1010,5050000,3,151500,1,30000,5231500,High,Low,4,4,4,0.03,25.0,22.0
Bhudargad,Patgaon,Rural,Residential,Female,2300,420,966000,2,19320,1,9660,994980,Medium,Low,4,4,4,0.03,32.0,8.0
Shirol,Herwad,Rural,Agricultural,Female,7000,600,4200000,2,84000,1,30000,4314000,Medium,Low,5,5,5,0.04,22.0,6.0
Gadhinglaj,Halkarni,Rural,Residential,Female,4500,850,3825000,2,76500,1,30000,3931500,Low,Low,6,7,4,0.03,60.0,12.0
Chandgad,Kudnur,Rural,Residential,Male,4500,850,3825000,3,114750,1,30000,3969750,Medium,Low,5,5,4,0.04,34.0,9.0
Karveer,Uchgaon,Semi-Urban,Residential,Female,2400,3280,7872000,3,236160,1,30000,8138160,Low,Low,8,8,7,0.15,4.0,2.0
Shirol,Shirol,Semi-Urban,Industrial,Male,6000,1680,10080000,4,403200,1,30000,10513200,High,Medium,7,7,8,0.06,40.0,4.0
Gaganbawada,Vesarde,Rural,Residential,Male,4000,330,1320000,3,39600,1,13200,1372800,High,Low,4,4,3,0.03,44.0,13.0
Chandgad,Tilari,Rural,Agricultural,Male,6000,200,1200000,3,36000,1,12000,1248000,High,Low,4,4,3,0.03,40.0,10.0
Chandgad,Shinoli,Rural,Commercial,Male,8000,1100,8800000,3,264000,1,30000,9094000,Medium,Low,5,5,4,0.04,33.0,9.0
Radhanagari,Ghotawade,Rural,Agricultural,Female,4000,200,800000,2,16000,1,8000,824000,High,Low,4,4,3,0.03,38.0,12.0
Kagal,Kapashi,Rural,Residential,Female,6000,1170,7020000,2,140400,1,30000,7190400,Medium,Low,5,5,5,0.04,28.0,12.0
Gadhinglaj,Halkarni,Rural,Residential,Male,4000,890,3560000,3,106800,1,30000,3696800,Low,Low,6,7,4,0.03,60.0,12.0
Shahuwadi,Amba,Rural,Residential,Male,9000,360,3240000,3,97200,1,30000,3367200,High,Low,4,4,3,0.03,35.0,9.0
Gadhinglaj,Halkarni,Rural,Agricultural,Male,1700,380,646000,3,19380,1,6460,671840,Low,Low,6,7,4,0.03,60.0,12.0
Chandgad,Kudnur,Rural,Residential,Female,2700,870,2349000,2,46980,1,23490,2419470,Medium,Low,5,5,4,0.04,34.0,9.0
Hatkanangale,Hupari,Semi-Urban,Commercial,Female,3800,3500,13300000,3,399000,1,30000,13729000,Medium,Low,6,6,6,0.08,20.0,25.0
Shahuwadi,Bambavade,Rural,Agricultural,Female,9000,390,3510000,2,70200,1,30000,3610200,Medium,Low,5,5,5,0.04,28.0,7.0
Gaganbawada,Vesarde,Rural,Agricultural,Female,10000,200,2000000,2,40000,1,20000,2060000,High,Low,4,4,3,0.03,44.0,13.0
Kagal,Murgud,Semi-Urban,Commercial,Male,6000,2390,14340000,4,573600,1,30000,14943600,Low,Low,6,6,5,0.05,39.0,20.0
Shahuwadi,Charan,Rural,Agricultural,Male,8000,330,2640000,3,79200,1,26400,2745600,Medium,Low,5,5,5,0.04,30.0,8.0
Shahuwadi,Amba,Rural,Commercial,Male,2700,540,1458000,3,43740,1,14580,1516320,High,Low,4,4,3,0.03,35.0,9.0
Ajra,Ningudage,Rural,Residential,Male,5500,370,2035000,3,61050,1,20350,2116400,High,Low,4,4,4,0.03,36.0,10.0
Gaganbawada,Bhuibawada,Rural,Residential,Male,1900,830,1577000,3,47310,1,15770,1640080,Medium,Low,5,5,4,0.04,38.0,11.0
Kagal,Kagal,Semi-Urban,Residential,Male,5000,2960,14800000,4,592000,1,30000,15422000,Low,Low,8,8,7,0.01,22.0,5.0
Karveer,Uchgaon,Semi-Urban,Industrial,Female,3600,2630,9468000,3,284040,1,30000,9782040,Low,Low,8,8,7,0.15,4.0,2.0
Karveer,Rajarampuri,Urban,Commercial,Female,3800,8870,33706000,5,1685300,1,30000,35421300,Medium,Low,9,9,9,0.12,2.0,10.0
Shahuwadi,Amba,Rural,Residential,Female,5000,400,2000000,2,40000,1,20000,2060000,High,Low,4,4,3,0.03,35.0,9.0
Hatkanangale,Ichalkaranji,Urban,Residential,Female,1300,2940,3822000,5,191100,1,30000,4043100,Medium,Medium,8,8,7,0.1,25.0,22.0
Radhanagari,Dajipur,Rural,Industrial,Male,6000,230,1380000,3,41400,1,13800,1435200,High,Low,4,4,3,0.03,40.0,12.0
Gaganbawada,Sakhari,Rural,Commercial,Male,9000,1000,9000000,3,270000,1,30000,9300000,High,Low,4,4,4,0.04,40.0,12.0
Bhudargad,Gargoti,Semi-Urban,Commercial,Female,2400,2470,5928000,3,177840,1,30000,6135840,Low,Medium,6,6,6,0.05,22.0,6.0
Gadhinglaj,Kadgaon,Rural,Residential,Male,3500,870,3045000,3,91350,1,30000,3166350,Medium,Low,5,5,5,0.04,30.0,7.0
Gaganbawada,Vesarde,Rural,Residential,Female,1700,330,561000,2,11220,1,5610,577830,High,Low,4,4,3,0.03,44.0,13.0
Chandgad,Kowad,Rural,Residential,Female,9000,410,3690000,2,73800,1,30000,3793800,High,Low,4,4,3,0.03,38.0,11.0
Gadhinglaj,Mahagoan,Rural,Residential,Male,10000,830,8300000,3,249000,1,30000,8579000,Medium,Low,5,5,4,0.04,35.0,10.0
Gadhinglaj,Kadgaon,Rural,Agricultural,Male,10000,360,3600000,3,108000,1,30000,3738000,Medium,Low,5,5,5,0.04,30.0,7.0
Gaganbawada,Sakhari,Rural,Agricultural,Male,3500,340,1190000,3,35700,1,11900,1237600,High,Low,4,4,4,0.04,40.0,12.0
Hatkanangale,Kabnur,Semi-Urban,Residential,Male,2200,2090,4598000,4,183920,1,30000,4811920,Low,Medium,6,6,6,0.05,17.0,15.0
Hatkanangale,Rukadi,Rural,Agricultural,Female,3500,660,2310000,2,46200,1,23100,2379300,Low,Low,5,5,5,0.04,15.0,13.0
Hatkanangale,Vathar,Semi-Urban,Industrial,Male,5500,1510,8305000,4,332200,1,30000,8667200,Low,Low,5,5,5,0.06,19.0,17.0
Chandgad,Kudnur,Rural,Residential,Female,7000,820,5740000,2,114800,1,30000,5884800,Medium,Low,5,5,4,0.04,34.0,9.0
Shirol,Shirol,Semi-Urban,Residential,Male,1400,1930,2702000,4,108080,1,27020,2837100,High,Medium,7,7,8,0.06,40.0,4.0
Gaganbawada,Gaganbawada,Rural,Residential,Female,4500,940,4230000,2,84600,1,30000,4344600,High,Low,5,5,4,0.04,36.0,10.0
Gaganbawada,Vesarde,Rural,Residential,Female,1900,350,665000,2,13300,1,6650,684950,High,Low,4,4,3,0.03,44.0,13.0
Hatkanangale,Kabnur,Semi-Urban,Commercial,Female,6000,2810,16860000,3,505800,1,30000,17395800,Low,Medium,6,6,6,0.05,17.0,15.0
Chandgad,Tilari,Rural,Commercial,Male,8000,460,3680000,3,110400,1,30000,3820400,High,Low,4,4,3,0.03,40.0,10.0
Hatkanangale,Vathar,Semi-Urban,Commercial,Male,2200,2490,5478000,4,219120,1,30000,5727120,Low,Low,5,5,5,0.06,19.0,17.0
Shahuwadi,Charan,Rural,Residential,Female,1500,890,1335000,2,26700,1,13350,1375050,Medium,Low,5,5,5,0.04,30.0,8.0
Panhala,Kale,Semi-Urban,Commercial,Female,2200,2720,5984000,3,179520,1,30000,6193520,Low,Low,6,6,6,0.05,20.0,5.0
Ajra,Madilage,Rural,Residential,Female,3500,860,3010000,2,60200,1,30000,3100200,Medium,Low,5,5,5,0.04,34.0,9.0
Radhanagari,Radhanagari,Rural,Residential,Male,2100,960,2016000,3,60480,1,20160,2096640,High,Low,5,5,5,0.04,35.0,9.0
Chandgad,Shinoli,Rural,Agricultural,Male,6000,360,2160000,3,64800,1,21600,2246400,Medium,Low,5,5,4,0.04,33.0,9.0
Radhanagari,Ghotawade,Rural,Residential,Female,2700,360,972000,2,19440,1,9720,1001160,High,Low,4,4,3,0.03,38.0,12.0
Gadhinglaj,Harali,Rural,Residential,Male,4500,790,3555000,3,106650,1,30000,3691650,Low,Low,4,4,4,0.03,45.0,15.0
Karveer,Nagala Park,Urban,Residential,Male,4000,5720,22880000,6,1372800,1,30000,24282800,Medium,Low,9,9,9,0.12,2.2,8.0
Chandgad,Kudnur,Rural,Residential,Male,5000,880,4400000,3,132000,1,30000,4562000,Medium,Low,5,5,4,0.04,34.0,9.0
Karveer,Uchgaon,Semi-Urban,Industrial,Female,5500,2630,14465000,3,433950,1,30000,14928950,Low,Low,8,8,7,0.15,4.0,2.0
Shahuwadi,Amba,Rural,Industrial,Female,2100,340,714000,2,14280,1,7140,735420,High,Low,4,4,3,0.03,35.0,9.0
Karveer,Shiye,Semi-Urban,Commercial,Female,5000,3340,16700000,3,501000,1,30000,17231000,Low,Low,8,7,7,0.09,5.0,3.0
Shirol,Nrusinhawadi,Rural,Residential,Female,4000,1720,6880000,2,137600,1,30000,7047600,High,Low,5,5,4,0.04,40.0,17.0
Ajra,Madilage,Rural,Agricultural,Male,6000,330,1980000,3,59400,1,19800,2059200,Medium,Low,5,5,5,0.04,34.0,9.0
Panhala,Kale,Semi-Urban,Commercial,Male,3800,2730,10374000,4,414960,1,30000,10818960,Low,Low,6,6,6,0.05,20.0,5.0
Karveer,Shiroli,Semi-Urban,Commercial,Male,4500,3530,15885000,4,635400,1,30000,16550400,High,Medium,8,6,6,0.09,10.0,2.0
Panhala,Kale,Semi-Urban,Commercial,Female,4000,2840,11360000,3,340800,1,30000,11730800,Low,Low,6,6,6,0.05,20.0,5.0
Gaganbawada,Salwan,Rural,Commercial,Male,6000,420,2520000,3,75600,1,25200,2620800,High,Low,4,4,3,0.03,42.0,12.0
Radhanagari,Ghotawade,Rural,Agricultural,Male,3500,200,700000,3,21000,1,7000,728000,High,Low,4,4,3,0.03,38.0,12.0
Chandgad,Here,Rural,Residential,Female,3000,750,2250000,2,45000,1,22500,2317500,Medium,Low,4,4,4,0.04,36.0,10.0
Kagal,Murgud,Semi-Urban,Residential,Male,1900,1670,3173000,4,126920,1,30000,3329920,Low,Low,6,6,5,0.05,39.0,20.0
Radhanagari,Ghotawade,Rural,Residential,Female,6000,410,2460000,2,49200,1,24600,2533800,High,Low,4,4,3,0.03,38.0,12.0
Panhala,Warnanagar,Semi-Urban,Industrial,Female,2400,2370,5688000,3,170640,1,30000,5888640,Low,Medium,8,7,7,0.06,15.0,2.0
Bhudargad,Admapur,Rural,Agricultural,Female,1500,320,480000,2,9600,1,4800,494400,Low,Low,5,5,5,0.04,26.0,6.0
Panhala,Kodoli,Semi-Urban,Agricultural,Female,5000,1050,5250000,3,157500,1,30000,5437500,Low,Medium,7,7,6,0.06,16.0,3.0
Shahuwadi,Bambavade,Rural,Residential,Male,4000,910,3640000,3,109200,1,30000,3779200,Medium,Low,5,5,5,0.04,28.0,7.0
Radhanagari,Tarale,Rural,Industrial,Male,7000,710,4970000,3,149100,1,30000,5149100,Medium,Low,5,5,4,0.04,33.0,10.0
Hatkanangale,Hupari,Semi-Urban,Commercial,Female,1100,2890,3179000,3,95370,1,30000,3304370,Medium,Low,6,6,6,0.08,20.0,25.0
Hatkanangale,Hupari,Semi-Urban,Residential,Female,4000,2620,10480000,3,314400,1,30000,10824400,Medium,Low,6,6,6,0.08,20.0,25.0
Radhanagari,Radhanagari,Rural,Residential,Female,2300,930,2139000,2,42780,1,21390,2203170,High,Low,5,5,5,0.04,35.0,9.0
Shirol,Shirol,Semi-Urban,Residential,Male,4500,2090,9405000,4,376200,1,30000,9811200,High,Medium,7,7,8,0.06,40.0,4.0
Chandgad,Chandgad,Rural,Agricultural,Female,1700,410,697000,2,13940,1,6970,717910,Medium,Low,5,5,5,0.04,35.0,9.0
Karveer,Kalamba,Semi-Urban,Commercial,Male,5000,3730,18650000,4,746000,1,30000,19426000,Low,Low,8,8,8,0.11,3.5,4.0
Shirol,Nrusinhawadi,Rural,Agricultural,Female,8000,780,6240000,2,124800,1,30000,6394800,High,Low,5,5,4,0.04,40.0,17.0
Kagal,Sangaon,Rural,Residential,Male,1900,1100,2090000,3,62700,1,20900,2173600,Medium,Low,5,5,5,0.04,25.0,14.0
Gadhinglaj,Harali,Rural,Agricultural,Female,2500,340,850000,2,17000,1,8500,875500,Low,Low,4,4,4,0.03,45.0,15.0
Chandgad,Tilari,Rural,Industrial,Female,6000,320,1920000,2,38400,1,19200,1977600,High,Low,4,4,3,0.03,40.0,10.0
Gadhinglaj,Basarge,Rural,Residential,Female,10000,850,8500000,2,170000,1,30000,8700000,Medium,Low,5,5,5,0.04,30.0,7.0
Gadhinglaj,Mahagoan,Rural,Residential,Male,1500,830,1245000,3,37350,1,12450,1294800,Medium,Low,5,5,4,0.04,35.0,10.0
Kagal,Bidri,Rural,Industrial,Male,5500,1100,6050000,3,181500,1,30000,6261500,Medium,Low,5,5,5,0.03,30.0,18.0
Shahuwadi,Charan,Rural,Agricultural,Female,2100,350,735000,2,14700,1,7350,757050,Medium,Low,5,5,5,0.04,30.0,8.0
Kagal,Sangaon,Rural,Residential,Female,3500,1240,4340000,2,86800,1,30000,4456800,Medium,Low,5,5,5,0.04,25.0,14.0
Chandgad,Kudnur,Rural,Agricultural,Female,3500,350,1225000,2,24500,1,12250,1261750,Medium,Low,5,5,4,0.04,34.0,9.0
Ajra,Uttur,Rural,Industrial,Female,6000,720,4320000,2,86400,1,30000,4436400,Medium,Low,5,5,5,0.04,32.0,9.0
Gadhinglaj,Harali,Rural,Residential,Female,10000,730,7300000,2,146000,1,30000,7476000,Low,Low,4,4,4,0.03,45.0,15.0
Radhanagari,Dhamod,Rural,Residential,Female,5500,720,3960000,2,79200,1,30000,4069200,Medium,Low,4,4,4,0.04,36.0,11.0
Radhanagari,Dajipur,Rural,Commercial,Male,8000,420,3360000,3,100800,1,30000,3490800,High,Low,4,4,3,0.03,40.0,12.0
Shirol,Herwad,Rural,Commercial,Female,6000,1920,11520000,2,230400,1,30000,11780400,Medium,Low,5,5,5,0.04,22.0,6.0
Panhala,Warnanagar,Semi-Urban,Agricultural,Male,5000,1110,5550000,4,222000,1,30000,5802000,Low,Medium,8,7,7,0.06,15.0,2.0
Hatkanangale,Talsande,Semi-Urban,Residential,Female,5500,2080,11440000,3,343200,1,30000,11813200,Low,Low,6,6,6,0.07,18.0,16.0
Kagal,Siddhanerli,Rural,Agricultural,Male,10000,440,4400000,3,132000,1,30000,4562000,Low,Low,5,5,5,0.06,26.0,13.0
Shahuwadi,Sarud,Rural,Residential,Male,5500,400,2200000,3,66000,1,22000,2288000,High,Low,4,4,3,0.03,33.0,9.0
Radhanagari,Dhamod,Rural,Residential,Female,2900,740,2146000,2,42920,1,21460,2210380,Medium,Low,4,4,4,0.04,36.0,11.0
Ajra,Uttur,Rural,Industrial,Male,1500,680,1020000,3,30600,1,10200,1060800,Medium,Low,5,5,5,0.04,32.0,9.0
Gaganbawada,Salwan,Rural,Residential,Male,2500,350,875000,3,26250,1,8750,910000,High,Low,4,4,3,0.03,42.0,12.0
Radhanagari,Rajapur,Rural,Agricultural,Female,7000,300,2100000,2,42000,1,21000,2163000,Medium,Low,4,4,4,0.04,37.0,11.0
Shirol,Herwad,Rural,Residential,Male,9000,1460,13140000,3,394200,1,30000,13564200,Medium,Low,5,5,5,0.04,22.0,6.0
Gadhinglaj,Basarge,Rural,Residential,Male,4500,910,4095000,3,122850,1,30000,4247850,Medium,Low,5,5,5,0.04,30.0,7.0
Shirol,Shirol,Semi-Urban,Commercial,Male,2600,2780,7228000,4,289120,1,30000,7547120,High,Medium,7,7,8,0.06,40.0,4.0
Shahuwadi,Amba,Rural,Residential,Female,6000,390,2340000,2,46800,1,23400,2410200,High,Low,4,4,3,0.03,35.0,9.0
Chandgad,Kowad,Rural,Agricultural,Male,4500,200,900000,3,27000,1,9000,936000,High,Low,4,4,3,0.03,38.0,11.0
Gadhinglaj,Kadgaon,Rural,Agricultural,Female,5500,390,2145000,2,42900,1,21450,2209350,Medium,Low,5,5,5,0.04,30.0,7.0
